City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vuktyl,63.86,57.31,275.23,92,100,6.47,RU,1604081675
matara,5.95,80.54,298.63,85,51,2.98,LK,1604081675
honningsvag,70.98,25.97,275.15,64,75,6.2,NO,1604081676
laguna,38.42,-121.42,292.04,36,1,1.65,US,1604081676
kloulklubed,7.04,134.26,299.15,88,75,3.6,PW,1604081676
roma,43.21,-75.46,278.15,60,40,4.6,US,1604081404
udalguri,26.77,92.13,295.35,59,10,2.1,IN,1604081656
stornoway,58.21,-6.39,281.15,81,40,6.2,GB,1604081677
shiyan,32.65,110.78,287.45,87,100,1.1,CN,1604081677
tomatlan,19.93,-105.25,303.9,62,69,2.32,MX,1604081678
bluff,-46.6,168.33,285.93,97,100,2.24,NZ,1604081632
berlevag,70.86,29.09,274.15,86,90,10.8,NO,1604081678
tiksi,71.69,128.87,261.43,96,100,2.72,RU,1604081669
saldanha,-33.01,17.94,289.15,55,0,8.7,ZA,1604081519
kahului,20.89,-156.47,298.15,78,40,4.6,US,1604081679
sao filipe,14.9,-24.5,302.0,53,58,7.77,CV,1604081679
port elizabeth,-33.92,25.57,286.15,71,0,1.5,ZA,1604081680
victoria,22.29,114.16,296.48,78,62,7.77,HK,1604081585
vao,-22.67,167.48,296.03,85,20,5.75,NC,1604081536
caluquembe,-13.78,14.68,291.96,81,99,1.89,AO,1604081682
cidreira,-30.18,-50.21,291.83,61,64,4.55,BR,1604081643
carnarvon,-24.87,113.63,296.15,78,90,3.1,AU,1604081683
ratnagiri,16.98,73.3,299.29,73,51,2.6,IN,1604081683
wanaka,-44.7,169.15,284.66,83,100,2.05,NZ,1604081684
saint-pierre,-21.34,55.48,294.15,68,75,7.7,RE,1604081684
quimper,48.0,-4.1,287.15,93,90,4.1,FR,1604081685
butaritari,3.07,172.79,300.64,79,62,8.08,KI,1604081660
nome,64.5,-165.41,263.15,85,75,1.98,US,1604081543
zabol,32.25,67.25,279.62,49,0,3.2,AF,1604081686
shimoda,34.67,138.95,280.93,81,1,5.83,JP,1604081545
katsuura,35.13,140.3,286.15,50,0,6.2,JP,1604081648
mahebourg,-20.41,57.7,294.15,52,40,6.2,MU,1604081686
fortuna,40.6,-124.16,284.15,81,1,1.5,US,1604081516
dakar,14.69,-17.44,304.15,58,0,8.2,SN,1604081475
praia,14.92,-23.51,303.15,58,0,9.3,CV,1604081687
vila franca do campo,37.72,-25.43,294.15,88,75,7.7,PT,1604081655
wonthaggi,-38.6,145.59,285.93,94,6,4.06,AU,1604081559
la rioja,42.25,-2.5,289.26,72,0,1.89,ES,1604081567
tommot,58.96,126.29,259.95,93,98,0.15,RU,1604081688
gusau,12.16,6.66,302.23,24,5,2.92,NG,1604081688
gwadar,25.12,62.33,296.86,47,0,3.55,PK,1604081689
saskylakh,71.92,114.08,254.23,85,31,2.72,RU,1604081632
kemijarvi,66.71,27.43,270.04,96,0,1.31,FI,1604081689
manuk mangkaw,4.8,119.85,301.02,81,76,6.08,PH,1604081689
egvekinot,66.32,-179.17,262.2,85,93,3.59,RU,1604081690
arraial do cabo,-22.97,-42.03,298.15,83,75,7.7,BR,1604081690
hualmay,-11.1,-77.61,293.52,68,100,3.65,PE,1604081559
pangody,65.85,74.49,268.43,98,95,4.11,RU,1604081690
tanout,14.97,8.89,302.83,14,16,4.24,NE,1604081691
kalabo,-14.97,22.68,301.16,28,59,0.83,ZM,1604081691
bethel,41.37,-73.41,275.93,93,90,3.1,US,1604081691
east london,-33.02,27.91,287.15,93,75,2.6,ZA,1604081691
oranjestad,12.52,-70.03,305.15,66,40,4.1,AW,1604081692
gushikawa,26.35,127.87,293.15,72,20,3.1,JP,1604081692
san pedro,14.35,121.02,302.15,74,75,1.0,PH,1604081693
dawson creek,55.77,-120.24,272.17,98,100,5.86,CA,1604081499
arlit,18.74,7.39,302.91,13,0,8.27,NE,1604081693
okato,-39.2,173.88,288.71,93,100,6.26,NZ,1604081694
pitimbu,-7.47,-34.81,303.15,62,40,6.2,BR,1604081694
fairbanks,64.84,-147.72,262.04,85,90,0.89,US,1604081594
georgetown,5.41,100.34,300.15,83,40,1.5,MY,1604081465
kozan,37.46,35.82,297.04,53,0,3.1,TR,1604081694
kalmunai,7.42,81.82,299.99,79,78,1.67,LK,1604081695
hasaki,35.73,140.83,279.15,87,0,1.5,JP,1604081535
sabzevar,36.21,57.68,283.24,53,0,1.03,IR,1604081696
salalah,17.02,54.09,300.15,57,0,1.5,OM,1604081655
behbahan,30.6,50.24,297.15,27,0,3.1,IR,1604081697
severo-yeniseyskiy,60.37,93.04,254.94,94,25,0.59,RU,1604081698
barrow,71.29,-156.79,266.15,92,90,6.2,US,1604081698
americus,32.07,-84.23,293.15,45,1,4.6,US,1604081699
namibe,-15.2,12.15,295.76,75,14,2.21,AO,1604081699
rawson,-43.3,-65.1,294.32,23,1,5.78,AR,1604081700
mount gambier,-37.83,140.77,283.15,93,90,2.6,AU,1604081700
yabrud,33.97,36.66,296.15,25,40,1.5,SY,1604081700
sabang,5.89,95.32,301.04,77,90,7.68,ID,1604081701
kidal,18.44,1.41,302.73,13,0,4.82,ML,1604081701
den helder,52.96,4.76,287.59,93,90,7.2,NL,1604081703
nikolskoye,59.7,30.79,281.48,87,90,3.0,RU,1604081704
flin flon,54.77,-101.86,268.15,67,90,3.1,CA,1604081705
bonavista,48.65,-53.11,275.37,55,55,3.6,CA,1604081705
geraldton,-28.77,114.6,292.15,88,0,2.6,AU,1604081706
moa,20.66,-74.94,302.96,69,100,3.76,CU,1604081707
chokurdakh,70.63,147.92,259.2,95,100,2.76,RU,1604081572
kinlochleven,56.71,-4.97,279.82,89,59,2.49,GB,1604081708
ligayan,4.65,119.47,300.91,80,50,5.44,PH,1604081708
fort nelson,58.81,-122.7,266.86,93,100,4.46,CA,1604081526
barcelos,41.54,-8.62,291.48,72,0,2.1,PT,1604081709
kapit,2.02,112.93,296.42,94,99,0.57,MY,1604081709
los llanos de aridane,28.66,-17.92,296.15,78,40,5.7,ES,1604081709
portland,45.52,-122.68,284.82,87,90,3.1,US,1604081427
nuuk,64.18,-51.72,269.15,73,20,4.1,GL,1604081711
