City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
grand gaube,-20.01,57.66,292.59,62,0,1.34,MU,1604081792
muravlenko,63.79,74.52,272.42,99,100,3.77,RU,1604081793
saldus,56.66,22.49,282.04,92,100,1.79,LV,1604081793
halifax,44.65,-63.57,277.15,55,90,7.7,CA,1604081629
margate,51.38,1.39,288.15,88,85,2.24,GB,1604081794
san juan,-31.54,-68.54,298.21,18,0,2.03,AR,1604081794
wamba,8.93,8.6,298.87,53,66,0.39,NG,1604081794
biskamzha,53.45,89.53,271.33,95,100,6.39,RU,1604081795
zhigansk,66.77,123.37,246.96,89,82,0.68,RU,1604081795
asau,46.43,26.4,279.82,97,100,0.36,RO,1604081766
atambua,-9.11,124.89,297.22,80,50,1.64,ID,1604081796
aloleng,16.13,119.78,300.21,79,61,1.89,PH,1604081796
bodden town,19.28,-81.25,303.15,74,40,2.1,KY,1604081796
diedorf,48.35,10.77,285.15,81,20,2.6,DE,1604081797
koumac,-20.57,164.28,296.78,81,33,1.96,NC,1604081797
talnakh,69.49,88.4,262.15,72,100,10.0,RU,1604081522
iisalmi,63.56,27.19,275.15,93,0,1.5,FI,1604081798
srivardhan,18.03,73.02,298.73,69,3,2.28,IN,1604081798
severo-kurilsk,50.68,156.12,278.72,89,93,12.8,RU,1604081652
inirida,3.87,-67.92,309.73,43,34,0.99,CO,1604081799
santa cruz del sur,20.71,-78.0,303.21,66,0,3.31,CU,1604081799
kupang,-10.17,123.58,299.75,77,75,2.63,ID,1604081800
linxia,35.6,103.21,275.51,79,84,1.52,CN,1604081800
cabinda,-5.55,12.2,298.59,83,66,4.76,AO,1604081801
gravdal,68.12,13.5,276.15,55,0,6.2,NO,1604081802
olinda,-8.01,-34.86,303.15,66,75,5.1,BR,1604081589
sakakah,29.97,40.21,298.15,9,0,3.1,SA,1604081803
padang,-0.95,100.35,298.85,79,100,1.43,ID,1604081664
sarkand,45.41,79.92,276.95,65,27,0.87,KZ,1604081804
tessalit,20.2,1.01,301.76,14,6,3.06,ML,1604081804
ibra,22.69,58.53,291.57,58,0,0.57,OM,1604081804
new port richey,28.24,-82.72,296.48,63,0,0.89,US,1604081805
teknaf,20.86,92.31,299.01,83,88,2.25,BD,1604081805
xuchang,34.02,113.82,288.15,67,100,1.0,CN,1604081805
kroonstad,-27.65,27.23,298.38,24,88,1.55,ZA,1604081805
kulhudhuffushi,6.62,73.07,301.18,74,73,3.92,MV,1604081806
dwarka,22.24,68.97,301.43,48,0,3.63,IN,1604081806
santa fe,-31.63,-60.7,294.82,32,99,1.79,AR,1604081807
loreto,22.27,-101.97,294.38,29,0,5.54,MX,1604081704
bulgan,48.81,103.53,270.0,74,10,2.21,MN,1604081807
zielona gora,51.94,15.51,286.15,93,90,5.1,PL,1604081564
cayenne,4.93,-52.33,305.15,62,20,5.7,GF,1604081808
rocha,-34.48,-54.33,288.42,59,6,5.09,UY,1604081808
general pico,-35.66,-63.76,295.02,26,0,3.96,AR,1604081586
poya,-21.35,165.15,296.02,82,34,2.51,NC,1604081809
eldorado,-23.79,-54.28,297.52,66,72,3.64,BR,1604081809
kampot,10.62,104.18,298.15,94,20,0.5,KH,1604081809
hobyo,5.35,48.53,300.67,77,10,5.5,SO,1604081810
plastun,44.76,136.29,274.85,86,47,2.22,RU,1604081810
graaff-reinet,-32.25,24.53,286.48,65,62,3.13,ZA,1604081810
richards bay,-28.78,32.04,293.94,82,87,7.61,ZA,1604081639
henties bay,-22.12,14.28,287.59,82,18,4.1,NA,1604081649
jais,26.25,81.53,294.88,31,0,2.84,IN,1604081811
zhangjiakou,40.81,114.88,280.5,67,94,0.87,CN,1604081812
reichenau,50.91,14.96,285.37,93,100,1.79,PL,1604081812
russellville,35.28,-93.13,288.15,54,1,1.5,US,1604081718
east wenatchee bench,47.43,-120.28,288.71,58,1,8.09,US,1604081813
ler,8.3,30.14,297.31,85,100,1.07,SS,1604081813
jalu,29.03,21.55,294.43,52,0,4.2,LY,1604081813
edd,13.93,41.69,303.45,51,0,6.39,ER,1604081667
progreso,21.28,-89.67,298.71,94,90,3.6,MX,1604081813
sillod,20.3,75.65,294.26,56,0,1.66,IN,1604081814
tigil,57.8,158.67,272.79,99,100,1.41,RU,1604081814
fenoarivo atsinanana,-17.37,49.42,294.52,75,73,5.13,MG,1604081815
mnogovershinnyy,53.94,139.92,271.53,96,98,1.1,RU,1604081815
cabo rojo,18.09,-67.15,304.26,70,99,3.58,PR,1604081770
sao jose da coroa grande,-8.9,-35.15,300.82,71,75,5.02,BR,1604081652
itamaraju,-17.04,-39.53,302.15,59,80,5.0,BR,1604081817
russell,32.35,-85.2,290.93,55,1,5.7,US,1604081604
ayan,56.45,138.17,270.77,87,100,1.98,RU,1604081818
kerouane,9.27,-9.02,298.76,59,39,1.25,GN,1604081818
beringovskiy,63.05,179.32,269.43,82,1,2.97,RU,1604081529
pangnirtung,66.15,-65.71,262.15,66,20,1.5,CA,1604081819
cap malheureux,-19.98,57.61,292.59,62,0,1.34,MU,1604081820
kyabram,-36.32,145.05,284.15,93,50,4.03,AU,1604081820
tsabong,-26.02,22.4,302.26,23,74,2.76,BW,1604081820
ponta delgada,37.73,-25.67,294.15,88,75,7.7,PT,1604081821
rosetta,31.4,30.42,297.15,60,40,3.6,EG,1604081821
jose bonifacio,-21.05,-49.69,299.15,61,75,6.7,BR,1604081589
soyo,-6.13,12.37,298.66,84,36,3.87,AO,1604081822
kon tum,14.35,108.0,293.92,89,17,0.87,VN,1604081573
emmett,43.87,-116.5,286.15,37,1,4.75,US,1604081822
vardo,70.37,31.11,273.15,85,75,8.2,NO,1604081542
ormara,25.21,64.64,298.61,59,0,4.53,PK,1604081823
saquena,-4.67,-73.52,301.7,89,100,0.86,PE,1604081657
la ronge,55.1,-105.28,269.15,68,100,6.7,CA,1604081823
sinalunga,43.22,11.75,285.93,84,3,0.79,IT,1604081823
sivaki,52.63,126.75,269.71,97,100,1.5,RU,1604081824
port blair,11.67,92.75,300.18,84,90,4.64,IN,1604081824
tremedal,-14.98,-41.41,301.48,55,100,3.89,BR,1604081824
chapais,49.78,-74.85,265.15,85,90,2.1,CA,1604081824
emiliano zapata,18.83,-99.18,298.15,50,75,2.18,MX,1604081825
manali,13.17,80.27,299.15,94,40,2.15,IN,1604081825
ville-marie,47.33,-79.43,270.15,53,1,2.6,CA,1604081825
shubarkuduk,49.14,56.49,281.17,50,98,6.61,KZ,1604081825
irricana,51.32,-113.6,286.15,35,40,9.3,CA,1604081826
bartica,6.4,-58.62,305.15,66,75,7.2,GY,1604081826
kieta,-6.22,155.63,298.14,82,100,1.4,PG,1604081826
ismailia,30.6,32.27,295.4,68,1,4.01,EG,1604081588
wattegama,6.8,81.48,297.72,89,71,1.29,LK,1604081827
mackay,-21.15,149.2,297.15,83,3,4.6,AU,1604081686
lufilufi,-13.87,-171.6,297.15,94,75,0.94,WS,1604081827
altus,34.64,-99.33,289.15,44,1,3.1,US,1604081696
batagay-alyta,67.8,130.41,257.8,93,100,0.8,RU,1604081828
bereda,43.27,-7.54,285.93,89,0,1.34,ES,1604081828
erzin,36.96,36.2,297.04,59,100,1.22,TR,1604081552
lac-megantic,45.58,-70.88,274.82,55,99,1.34,CA,1604081828
dunedin,-45.87,170.5,289.26,67,100,3.58,NZ,1604081829
ushumun,52.78,126.53,269.51,97,100,1.98,RU,1604081829
bani walid,31.76,13.99,291.94,67,61,5.86,LY,1604081830
terenos,-20.44,-54.86,296.15,78,75,4.1,BR,1604081831
yarada,17.65,83.27,298.15,83,83,1.0,IN,1604081831
valmiera,57.54,25.43,280.93,97,97,1.31,LV,1604081832
palana,59.12,159.97,272.09,98,95,3.25,RU,1604081833
dubai,25.26,55.3,301.15,58,0,2.6,AE,1604081833
mackenzie,55.3,-123.17,272.15,92,90,4.6,CA,1604081834
waddan,29.16,16.14,291.96,47,57,3.78,LY,1604081834
springfield,37.22,-93.3,285.93,54,1,2.1,US,1604081593
trairi,-3.28,-39.27,302.87,58,26,6.8,BR,1604081835
davila,18.47,120.58,299.66,80,9,11.24,PH,1604081835
tiznit,29.58,-9.5,298.2,20,0,4.0,MA,1604081835
changji,44.02,87.32,276.15,69,0,1.0,CN,1604081835
zyryanka,65.75,150.85,257.23,94,62,0.33,RU,1604081836
warner robins,32.62,-83.6,292.59,52,1,6.7,US,1604081576
monforte de lemos,42.52,-7.51,285.37,78,0,1.23,ES,1604081837
sandusky,41.35,-83.13,279.82,66,95,2.24,US,1604081789
kinablangan,7.69,126.55,299.18,82,62,2.44,PH,1604081837
matagami,49.75,-77.63,267.15,67,1,2.6,CA,1604081838
slangerup,55.85,12.18,282.59,96,99,2.24,DK,1604081838
manyana,-23.4,21.72,301.06,30,36,2.92,BW,1604081839
paranavai,-23.07,-52.47,293.94,77,100,5.53,BR,1604081839
suoyarvi,62.08,32.35,278.67,89,94,2.1,RU,1604081839
hofn,64.25,-15.21,276.15,93,90,2.6,IS,1604081662
ekhabi,53.51,142.97,273.3,93,84,2.36,RU,1604081840
alice springs,-23.7,133.88,287.15,28,51,2.6,AU,1604081653
lakatoro,-16.1,167.42,299.07,82,53,5.32,VU,1604081841
alta floresta,-9.88,-56.09,300.15,83,75,2.1,BR,1604081841
reutte,47.48,10.72,281.48,91,60,1.98,AT,1604081841
gobabis,-22.45,18.97,298.99,36,90,5.03,NA,1604081841
veere,51.55,3.67,288.15,82,87,10.3,NL,1604081841
praia da vitoria,38.73,-27.07,294.15,88,75,9.0,PT,1604081680
cuenca,-2.88,-78.98,293.15,45,90,3.6,EC,1604081633
little current,45.98,-81.92,273.71,46,16,2.6,CA,1604081842
aswan,24.09,32.91,302.44,14,0,3.81,EG,1604081749
port-gentil,-0.72,8.78,301.15,78,40,4.6,GA,1604081668
yurty,56.05,97.63,271.41,98,100,1.55,RU,1604081843
